rho,lambda_factor,log_Lambda,b2_certificate,ball_radius,S0_Ymax,S0_exit,S1_exit,phi0_lower,phi_correction_sup,phi_lower,endpoint_phi_error,endpoint_DXphi_error,unperturbed_azimuthal_shear,perturbed_azimuthal_shear,endpoint_cex,log_C_chosen,log_C_required_axial,log_C_axial_margin,phi_positive,azimuthal_branch_certified,axial_branch_certified,B19_certified,proposition_b3_certificate
1.0000000000000001e-05,9.9999999999999988e+26,207.45757787100464,1,1.3257289597969639,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,9.9999999999999996e+27,209.76016296399868,1,0.13257281955643541,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,0.14006853839719732,0.12493146160280269,0.13986682723547295,0.0080470215823315837,3.326818903256771,2.1377719980377492,0.1377719980377492,5.7026137929827761e+93,8.3398243375995614e+90,5.6942739686451762e+93,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999991e+28,212.06274805699275,1,0.013257281191411422,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,0.014006853032277633,0.2509931469677224,0.013986681917267985,0.0008047021118451252,3.326818903256771,3.1542638490546753,0.29999999999999999,5.7026137929827757e+94,8.3398243375995599e+91,5.6942739686451765e+94,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999988e+29,214.36533314998678,1,0.0013257281114988214,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,0.0014006852951533428,0.26359931470484665,0.0013986681836640057,8.0470210720632207e-05,3.326818903256771,3.3087480314800417,0.29999999999999999,5.7026137929827763e+95,8.3398243375995605e+92,5.6942739686451764e+95,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999985e+30,216.66791824298082,1,0.00013257281107345896,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,0.00014006852943459008,0.26485993147056541,0.00013986681828577266,8.0470210674244191e-06,3.326818903256771,3.3250032365940272,0.29999999999999999,5.7026137929827756e+96,8.3398243375995596e+93,5.6942739686451757e+96,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999987e+31,218.97050333597488,1,1.3257281106581662e-05,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942651564e-05,0.26498599314705734,1.3986681827770985e-05,8.0470210669605379e-07,3.326818903256771,3.3266372503473733,0.29999999999999999,5.7026137929827758e+97,8.3398243375995596e+94,5.6942739686451764e+97,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999995e+32,221.27308842896892,1,1.3257281106505234e-06,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942570815e-06,0.26499859931470576,1.3986681827690352e-06,8.0470210669141469e-08,3.326818903256771,3.3268007371029493,0.29999999999999999,5.7026137929827769e+98,8.3398243375995619e+95,5.6942739686451767e+98,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999995e+33,223.57567352196295,1,1.3257281106497596e-07,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942562746e-07,0.26499985993147057,1.3986681827682293e-07,8.0470210669095108e-09,3.326818903256771,3.3268170866327593,0.29999999999999999,5.7026137929827766e+99,8.3398243375995607e+96,5.6942739686451772e+99,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999997e+34,225.87825861495702,1,1.3257281106496828e-08,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561935e-08,0.26499998599314706,1.3986681827681484e-08,8.047021066909045e-10,3.326818903256771,3.3268187215942842,0.29999999999999999,5.7026137929827768e+100,8.3398243375995609e+97,5.6942739686451774e+100,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999989e+35,228.18084370795106,1,1.3257281106496755e-09,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561858e-09,0.26499999859931472,1.3986681827681407e-09,8.0470210669089996e-11,3.326818903256771,3.3268188850905216,0.29999999999999999,5.7026137929827767e+101,8.3398243375995603e+98,5.6942739686451773e+101,1,1,1,1,1
