time,i,j,x,y,u,v,omega_z,exact_u,exact_v,velocity_error
0,3,4,0.58904862254808621,0.78539816339744828,0.39284747919355101,-0.58793780120967931,0.78569495838710146,0.39284747919355106,-0.58793780120967931,5.5511151231257827e-17
0,3,5,0.58904862254808621,0.98174770424681035,0.30865828381745503,-0.69134171618254481,0.92387953251128663,0.30865828381745514,-0.69134171618254492,1.5700924586837752e-16
0,3,6,0.58904862254808621,1.1780972450961724,0.21260752369181407,-0.76817775671141642,1.0265599343186727,0.21260752369181413,-0.7681777567114163,1.2412670766236366e-16
0,3,7,0.58904862254808621,1.3744467859455345,0.10838637566236965,-0.8154931568489171,1.0897902135516362,0.10838637566236964,-0.8154931568489171,1.3877787807814457e-17
0,3,8,0.58904862254808621,1.5707963267948966,6.899925043731489e-17,-0.83146961230254535,1.1111404660392032,3.4018865378450248e-17,-0.83146961230254524,1.1640265883107976e-16
0,3,9,0.58904862254808621,1.7671458676442586,-0.10838637566236953,-0.81549315684891721,1.0897902135516369,-0.10838637566236957,-0.8154931568489171,1.1857187100668868e-16
0,3,10,0.58904862254808621,1.9634954084936207,-0.21260752369181396,-0.76817775671141653,1.0265599343186727,-0.21260752369181407,-0.7681777567114163,2.4825341532472731e-16
0,3,11,0.58904862254808621,2.1598449493429825,-0.30865828381745486,-0.69134171618254514,0.92387953251128685,-0.30865828381745491,-0.69134171618254503,1.2412670766236366e-16
0,3,12,0.58904862254808621,2.3561944901923448,-0.39284747919355095,-0.58793780120967964,0.78569495838710235,-0.39284747919355101,-0.58793780120967942,2.2887833992611187e-16
0,3,13,0.58904862254808621,2.5525440310417071,-0.4619397662556432,-0.46193976625564342,0.61731656763490972,-0.46193976625564342,-0.46193976625564331,2.4825341532472731e-16
0,3,14,0.58904862254808621,2.748893571891069,-0.51327996715933655,-0.31818964514320852,0.42521504738362748,-0.51327996715933666,-0.31818964514320858,1.2412670766236366e-16
0,3,15,0.58904862254808621,2.9452431127404308,-0.54489510677581843,-0.16221167441072901,0.21677275132473911,-0.54489510677581854,-0.16221167441072917,2.0014830212433605e-16
0,3,16,0.58904862254808621,3.1415926535897931,-0.55557023301960196,-1.3100096970078262e-16,7.2019732978425277e-17,-0.55557023301960218,-1.0182565992946028e-16,2.2395313187487659e-16
0,3,17,0.58904862254808621,3.3379421944391554,-0.54489510677581843,0.16221167441072873,-0.21677275132473903,-0.54489510677581854,0.16221167441072895,2.4825341532472731e-16
0,3,18,0.58904862254808621,3.5342917352885173,-0.51327996715933655,0.31818964514320852,-0.42521504738362736,-0.51327996715933677,0.31818964514320841,2.4825341532472731e-16
0,3,19,0.58904862254808621,3.7306412761378791,-0.46193976625564337,0.46193976625564337,-0.61731656763490972,-0.46193976625564348,0.46193976625564315,2.4825341532472731e-16
