rho,lambda_factor,log_Lambda,chi_norm,zeta_norm,T_bound,inverse_one_plus_T_bound,phi_Wstar_Phi,phi_h_background_Phi,phi_B_etaAX_u_Phi,phi_B_detaAX_u_Phi,phi_h_u_Phi,phi_zeta_u_Phi,phi_Wstar_DXPhi,phi_B_etaAX_u_DXPhi,phi_B_detaAX_u_DXPhi,phi_Hstar_detaPhi,phi_u_detaPhi,u_linear,u_quadratic,u_Wstar_DXu,u_B_etaAX_u_DXu,u_B_detaAX_u_DXu,u_Hstar_detau,u_u_detau,u_pressure_p,u_pressure_peta,u_pressure_DXp,M_phi_map,M_u_map,contraction_bound,inverse_certified,contraction_certified
2.0000000000000002e-05,10000000,161.40644929565229,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500205e-66,9.2368729621141788e-101,1.5025477255494142e-74,9.1280253455865907e-70,5.4237506955236653e-109,0.037652042806715608,4.1730647093217977e-67,2.8172769854051527e-75,9.1331177996126896e-71,8.182113378952923e-62,9.1280253455865907e-70,9.1956773060346481e-68,5.044326943786551e-76,5.1895835125545049e-69,7.0935847646998388e-77,2.2996157500013989e-72,1.3734423962964927e-63,3.064444703576553e-71,1.9113837229912928e-69,8.4256915135942672e-64,3.4404907013843269e-68,0.037652042806715608,2.2161450432478675e-63,0.037652042806715608,1,1
2.0000000000000002e-05,100000000,163.70903438864636,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.19849262735002e-67,9.2368729621141772e-102,1.5025477255494139e-76,9.1280253455865898e-72,5.4237506955236645e-111,0.0037652042806715596,4.1730647093217977e-68,2.8172769854051521e-77,9.1331177996126881e-73,8.1821133789529221e-63,9.1280253455865898e-72,9.1956773060346479e-69,5.0443269437865503e-78,5.1895835125545046e-70,7.0935847646998379e-79,2.2996157500013984e-74,1.3734423962964927e-64,3.0644447035765524e-73,1.9113837229912927e-70,8.4256915135942666e-65,3.4404907013843269e-69,0.0037652042806715596,2.216145013597693e-64,0.0037652042806715596,1,1
2.0000000000000002e-05,1000000000,166.01161948164039,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500204e-68,9.2368729621141784e-103,1.5025477255494147e-78,9.1280253455865921e-74,5.4237506955236655e-113,0.00037652042806715603,4.1730647093217973e-69,2.8172769854051527e-79,9.1331177996126914e-75,8.1821133789529232e-64,9.1280253455865921e-74,9.1956773060346474e-70,5.0443269437865522e-80,5.1895835125545053e-71,7.0935847646998392e-81,2.299615750001399e-76,1.3734423962964927e-65,3.0644447035765533e-75,1.9113837229912927e-71,8.4256915135942676e-66,3.4404907013843272e-70,0.00037652042806715603,2.2161450106326756e-65,0.00037652042806715603,1,1
2.0000000000000002e-05,10000000000,168.31420457463443,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.19849262735002e-69,9.2368729621141774e-104,1.5025477255494144e-80,9.1280253455865917e-76,5.4237506955236642e-115,3.7652042806715595e-05,4.1730647093217973e-70,2.8172769854051526e-81,9.1331177996126885e-77,8.1821133789529218e-65,9.1280253455865917e-76,9.1956773060346496e-71,5.0443269437865518e-82,5.1895835125545059e-72,7.0935847646998385e-83,2.2996157500013987e-78,1.3734423962964928e-66,3.0644447035765535e-77,1.9113837229912931e-72,8.4256915135942681e-67,3.4404907013843276e-71,3.7652042806715595e-05,2.2161450103361738e-66,3.7652042806715595e-05,1,1
2.0000000000000002e-05,100000000000,170.6167896676285,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500198e-70,9.2368729621141771e-105,1.5025477255494138e-82,9.1280253455865881e-78,5.423750695523664e-117,3.7652042806715593e-06,4.173064709321797e-71,2.8172769854051516e-83,9.1331177996126864e-79,8.1821133789529214e-66,9.1280253455865881e-78,9.1956773060346476e-72,5.0443269437865505e-84,5.1895835125545036e-73,7.0935847646998383e-85,2.2996157500013982e-80,1.3734423962964926e-67,3.0644447035765521e-79,1.9113837229912925e-73,8.4256915135942668e-68,3.4404907013843264e-72,3.7652042806715593e-06,2.2161450103065239e-67,3.7652042806715593e-06,1,1
2.0000000000000002e-05,1000000000000,172.91937476062253,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-71,9.2368729621141767e-106,1.5025477255494143e-84,9.1280253455865901e-80,5.4237506955236649e-119,3.7652042806715606e-07,4.1730647093217978e-72,2.8172769854051525e-85,9.133117799612689e-81,8.182113378952924e-67,9.1280253455865901e-80,9.1956773060346484e-73,5.0443269437865511e-86,5.1895835125545049e-74,7.0935847646998395e-87,2.2996157500013984e-82,1.3734423962964928e-68,3.0644447035765533e-81,1.9113837229912927e-74,8.4256915135942674e-69,3.4404907013843276e-73,3.7652042806715606e-07,2.2161450103035586e-68,3.7652042806715606e-07,1,1
5.0000000000000002e-05,1,145.28835364469398,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095063,2.1984926273500198e-59,9.2368729621141752e-94,1.502547725549414e-60,3.651210138234636e-56,5.423750695523664e-95,376520.42806715594,4.1730647093217964e-60,2.8172769854051513e-61,3.6532471198450754e-57,3.2728453515811695e-55,3.651210138234637e-56,9.1956773060346481e-61,5.0443269437865511e-62,5.1895835125545043e-62,7.0935847646998369e-63,9.1984630000055964e-59,5.4937695851859727e-57,1.2257778814306216e-57,1.9113837229912923e-62,3.3702766054377067e-57,3.4404907013843261e-61,376520.42806715594,1.0183200865381656e-56,376520.42806715594,1,0
5.0000000000000002e-05,10,147.59093873768802,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095063,2.1984926273500192e-60,9.2368729621141739e-95,1.5025477255494137e-62,3.651210138234635e-58,5.4237506955236633e-97,37652.042806715588,4.1730647093217962e-61,2.8172769854051508e-63,3.6532471198450745e-59,3.2728453515811691e-56,3.6512101382346364e-58,9.1956773060346484e-62,5.0443269437865503e-64,5.1895835125545043e-63,7.093584764699837e-65,9.1984630000055945e-61,5.4937695851859725e-58,1.2257778814306216e-59,1.911383722991292e-63,3.3702766054377066e-58,3.4404907013843259e-62,37652.042806715588,8.9971628219252651e-58,37652.042806715588,1,0
5.0000000000000002e-05,100,149.89352383068208,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095063,2.1984926273500195e-61,9.2368729621141742e-96,1.5025477255494134e-64,3.6512101382346353e-60,5.4237506955236639e-99,3765.2042806715585,4.1730647093217962e-62,2.8172769854051507e-65,3.6532471198450742e-61,3.2728453515811697e-57,3.6512101382346359e-60,9.1956773060346493e-63,5.0443269437865516e-66,5.1895835125545045e-64,7.0935847646998382e-67,9.1984630000055952e-63,5.493769585185973e-59,1.2257778814306217e-61,1.9113837229912925e-64,3.3702766054377074e-59,3.4404907013843263e-63,3765.2042806715585,8.8785590175796265e-59,3765.2042806715585,1,0
5.0000000000000002e-05,1000,152.19610892367612,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095063,2.1984926273500195e-62,9.2368729621141751e-97,1.5025477255494137e-66,3.6512101382346358e-62,5.4237506955236621e-101,376.52042806715588,4.1730647093217966e-63,2.8172769854051512e-67,3.6532471198450751e-63,3.2728453515811696e-58,3.6512101382346362e-62,9.1956773060346466e-64,5.0443269437865507e-68,5.1895835125545036e-65,7.0935847646998363e-69,9.1984630000055943e-65,5.4937695851859726e-60,1.2257778814306217e-63,1.9113837229912919e-65,3.3702766054377068e-60,3.4404907013843254e-64,376.52042806715588,8.8666986371450612e-60,376.52042806715588,1,0
