tau,eta_target,z,q_reference,q_solved,eta_solved,relative_q_error,eta_error
0.001,-0.90000000000000002,-0.067028496348627911,0.0052631578947368437,0.0052631578947368429,-0.90000000000000013,1.6479873021779662e-16,1.1102230246251565e-16
0.001,-0.80000000000000004,-0.043423042443948234,0.0027777777777777788,0.0027777777777777757,-0.80000000000000038,1.0928757898653881e-15,3.3306690738754696e-16
0.001,-0.69999999999999996,-0.031977963527499535,0.0019607843137254902,0.0019607843137254815,-0.7000000000000014,4.4235448637408581e-15,1.4432899320127035e-15
0.001,-0.59999999999999998,-0.024495830218952696,0.0015625000000000001,0.0015625000000000096,-0.59999999999999809,6.106226635438361e-15,1.8873791418627661e-15
0.001,-0.5,-0.018871858820686826,0.0013333333333333333,0.0013333333333333339,-0.49999999999999989,4.87890977618477e-16,1.1102230246251565e-16
0.001,-0.40000000000000002,-0.014273870251351586,0.0011904761904761906,0.0011904761904761901,-0.40000000000000008,3.6429192995512944e-16,5.5511151231257827e-17
0.001,-0.29999999999999993,-0.010289535396947618,0.0010989010989010989,0.0010989010989011019,-0.29999999999999949,2.7625471354930653e-15,4.4408920985006262e-16
0.001,-0.20000000000000007,-0.0066804502684894816,0.0010416666666666667,0.0010416666666666673,-0.20000000000000001,6.2450045135165055e-16,5.5511151231257827e-17
0.001,-0.099999999999999978,-0.0032897324495309312,0.0010101010101010101,0.001010101010101011,-0.099999999999999936,8.5868812060851951e-16,4.163336342344337e-17
0.001,-1.1102230246251565e-16,-3.6342117635128425e-18,0.001,0.001000000000000007,-1.1102230246251527e-16,6.9388939039072284e-15,3.8210450096642759e-31
0.001,0.099999999999999978,0.0032897324495309312,0.0010101010101010101,0.001010101010101011,0.099999999999999936,8.5868812060851951e-16,4.163336342344337e-17
0.001,0.20000000000000007,0.0066804502684894816,0.0010416666666666667,0.0010416666666666673,0.20000000000000001,6.2450045135165055e-16,5.5511151231257827e-17
0.001,0.30000000000000016,0.010289535396947628,0.0010989010989010991,0.0010989010989011019,0.29999999999999977,2.5652223401007031e-15,3.8857805861880479e-16
0.001,0.40000000000000002,0.014273870251351586,0.0011904761904761906,0.0011904761904761901,0.40000000000000008,3.6429192995512944e-16,5.5511151231257827e-17
0.001,0.49999999999999989,0.018871858820686822,0.0013333333333333331,0.0013333333333333339,0.49999999999999983,6.5052130349130276e-16,5.5511151231257827e-17
0.001,0.59999999999999998,0.024495830218952696,0.0015625000000000001,0.0015625000000000096,0.59999999999999809,6.106226635438361e-15,1.8873791418627661e-15
0.001,0.70000000000000007,0.031977963527499549,0.0019607843137254906,0.0019607843137254815,0.70000000000000173,4.6447221069279002e-15,1.6653345369377348e-15
0.001,0.80000000000000016,0.043423042443948248,0.0027777777777777796,0.0027777777777777757,0.80000000000000071,1.4051260155412128e-15,5.5511151231257827e-16
0.001,0.8999999999999998,0.067028496348627814,0.0052631578947368316,0.0052631578947368411,0.89999999999999902,1.812786032395767e-15,7.7715611723760958e-16
0.0001,-0.90000000000000002,-0.021441712917959356,0.00052631578947368442,0.00052631578947368658,-0.89999999999999813,4.1199682554449153e-15,1.8873791418627661e-15
0.0001,-0.80000000000000004,-0.013890575812186804,0.00027777777777777789,0.00027777777777777664,-0.80000000000000182,4.4885969940899868e-15,1.7763568394002505e-15
0.0001,-0.69999999999999996,-0.010229415114600817,0.00019607843137254904,0.00019607843137255012,-0.69999999999999807,5.5294310796760718e-15,1.8873791418627661e-15
0.0001,-0.59999999999999998,-0.0078359591495238551,0.00015625,0.00015625000000000079,-0.59999999999999853,5.0306980803327406e-15,1.4432899320127035e-15
0.0001,-0.5,-0.0060369096892281563,0.00013333333333333334,0.00013333333333333329,-0.50000000000000011,4.0657581468206416e-16,1.1102230246251565e-16
0.0001,-0.40000000000000002,-0.0045660613743418116,0.00011904761904761906,0.00011904761904761926,-0.39999999999999963,1.7076184216646693e-15,3.8857805861880479e-16
0.0001,-0.29999999999999993,-0.0032915144462292278,0.00010989010989010989,0.00010989010989010967,-0.30000000000000021,1.9732479539236181e-15,2.7755575615628914e-16
0.0001,-0.20000000000000007,-0.002137005969440759,0.00010416666666666667,0.0001041666666666672,-0.19999999999999957,5.0740661672321608e-15,4.9960036108132044e-16
0.0001,-0.099999999999999978,-0.0010523509044997599,0.00010101010101010101,0.00010101010101010112,-0.099999999999999908,1.0733601507606494e-15,6.9388939039072284e-17
0.0001,-1.1102230246251565e-16,-1.1625462237884183e-18,0.0001,0.00010000000000000086,-1.1102230246251517e-16,8.5380921083233474e-15,4.8071211411905407e-31
0.0001,0.099999999999999978,0.0010523509044997599,0.00010101010101010101,0.00010101010101010112,0.099999999999999908,1.0733601507606494e-15,6.9388939039072284e-17
0.0001,0.20000000000000007,0.002137005969440759,0.00010416666666666667,0.0001041666666666672,0.19999999999999957,5.0740661672321608e-15,4.9960036108132044e-16
0.0001,0.30000000000000016,0.0032915144462292304,0.0001098901098901099,0.00010989010989010967,0.30000000000000049,2.0965759510438438e-15,3.3306690738754696e-16
0.0001,0.40000000000000002,0.0045660613743418116,0.00011904761904761906,0.00011904761904761926,0.39999999999999963,1.7076184216646693e-15,3.8857805861880479e-16
0.0001,0.49999999999999989,0.0060369096892281546,0.00013333333333333331,0.00013333333333333329,0.49999999999999994,2.0328790734103211e-16,5.5511151231257827e-17
0.0001,0.59999999999999998,0.0078359591495238551,0.00015625,0.00015625000000000079,0.59999999999999853,5.0306980803327406e-15,1.4432899320127035e-15
0.0001,0.70000000000000007,0.010229415114600819,0.00019607843137254907,0.00019607843137255012,0.69999999999999818,5.3911953026841692e-15,1.8873791418627661e-15
0.0001,0.80000000000000016,0.01389057581218681,0.00027777777777777799,0.00027777777777777664,0.80000000000000215,4.878909776184766e-15,1.9984014443252818e-15
0.0001,0.8999999999999998,0.021441712917959325,0.00052631578947368311,0.00052631578947368658,0.8999999999999968,6.5919492087118804e-15,2.9976021664879227e-15
1.0000000000000001e-05,-0.90000000000000002,-0.0068589790596667059,5.2631578947368437e-05,5.2631578947368038e-05,-0.90000000000000346,7.5961914709765623e-15,3.4416913763379853e-15
1.0000000000000001e-05,-0.80000000000000004,-0.0044434495036401985,2.7777777777777789e-05,2.7777777777777671e-05,-0.80000000000000182,4.2690460541616721e-15,1.7763568394002505e-15
1.0000000000000001e-05,-0.69999999999999996,-0.0032722825985099821,1.9607843137254903e-05,1.960784313725497e-05,-0.69999999999999873,3.4558944247975454e-15,1.2212453270876722e-15
1.0000000000000001e-05,-0.59999999999999998,-0.0025066411403153427,1.5625e-05,1.5625000000000061e-05,-0.59999999999999887,3.903127820947816e-15,1.1102230246251565e-15
1.0000000000000001e-05,-0.5,-0.0019311440882520568,1.3333333333333335e-05,1.3333333333333371e-05,-0.49999999999999933,2.6681537838510457e-15,6.6613381477509392e-16
1.0000000000000001e-05,-0.40000000000000002,-0.0014606351400932808,1.1904761904761907e-05,1.1904761904761971e-05,-0.39999999999999902,5.4074583352714526e-15,9.9920072216264089e-16
1.0000000000000001e-05,-0.29999999999999993,-0.0010529209465521268,1.098901098901099e-05,1.0989010989011085e-05,-0.29999999999999866,8.6329597984158275e-15,1.27675647831893e-15
1.0000000000000001e-05,-0.20000000000000007,-0.000683605794502537,1.0416666666666668e-05,1.0416666666666682e-05,-0.19999999999999996,1.3010426069826051e-15,1.1102230246251565e-16
1.0000000000000001e-05,-0.099999999999999978,-0.00033663601620836014,1.0101010101010101e-05,1.0101010101010059e-05,-0.10000000000000019,4.1928130889087867e-15,2.0816681711721685e-16
1.0000000000000001e-05,-1.1102230246251565e-16,-3.718863430066973e-19,1.0000000000000001e-05,1.0000000000000057e-05,-1.1102230246251533e-16,5.5904174518783814e-15,3.2047474274603605e-31
1.0000000000000001e-05,0.099999999999999978,0.00033663601620836014,1.0101010101010101e-05,1.0101010101010059e-05,0.10000000000000019,4.1928130889087867e-15,2.0816681711721685e-16
1.0000000000000001e-05,0.20000000000000007,0.000683605794502537,1.0416666666666668e-05,1.0416666666666682e-05,0.19999999999999996,1.3010426069826051e-15,1.1102230246251565e-16
1.0000000000000001e-05,0.30000000000000016,0.0010529209465521274,1.098901098901099e-05,1.0989010989011085e-05,0.29999999999999882,8.6329597984158275e-15,1.3322676295501878e-15
1.0000000000000001e-05,0.40000000000000002,0.0014606351400932808,1.1904761904761907e-05,1.1904761904761971e-05,0.39999999999999902,5.4074583352714526e-15,9.9920072216264089e-16
1.0000000000000001e-05,0.49999999999999989,0.0019311440882520564,1.3333333333333333e-05,1.3333333333333371e-05,0.49999999999999922,2.7952087259391911e-15,6.6613381477509392e-16
1.0000000000000001e-05,0.59999999999999998,0.0025066411403153427,1.5625e-05,1.5625000000000061e-05,0.59999999999999887,3.903127820947816e-15,1.1102230246251565e-15
